[2026-05-27T01:55:02.644+0000] {taskinstance.py:1956} INFO - Dependencies all met for dep_context=non-requeueable deps ti=<TaskInstance: crime_analytics_pipeline.ingest_chicago_crime manual__2026-05-26T19:50:14.211656+00:00 [queued]>
[2026-05-27T01:55:02.655+0000] {taskinstance.py:1956} INFO - Dependencies all met for dep_context=requeueable deps ti=<TaskInstance: crime_analytics_pipeline.ingest_chicago_crime manual__2026-05-26T19:50:14.211656+00:00 [queued]>
[2026-05-27T01:55:02.655+0000] {taskinstance.py:2170} INFO - Starting attempt 2 of 3
[2026-05-27T01:55:02.669+0000] {taskinstance.py:2191} INFO - Executing <Task(PythonOperator): ingest_chicago_crime> on 2026-05-26 19:50:14.211656+00:00
[2026-05-27T01:55:02.680+0000] {standard_task_runner.py:60} INFO - Started process 3088 to run task
[2026-05-27T01:55:02.685+0000] {standard_task_runner.py:87} INFO - Running: ['***', 'tasks', 'run', 'crime_analytics_pipeline', 'ingest_chicago_crime', 'manual__2026-05-26T19:50:14.211656+00:00', '--job-id', '118', '--raw', '--subdir', 'DAGS_FOLDER/dag_crime_pipeline.py', '--cfg-path', '/tmp/tmpbeyn5ilq']
[2026-05-27T01:55:02.689+0000] {standard_task_runner.py:88} INFO - Job 118: Subtask ingest_chicago_crime
[2026-05-27T01:55:02.770+0000] {task_command.py:423} INFO - Running <TaskInstance: crime_analytics_pipeline.ingest_chicago_crime manual__2026-05-26T19:50:14.211656+00:00 [running]> on host 93e8dbfc6168
[2026-05-27T01:55:02.872+0000] {taskinstance.py:2480} INFO - Exporting env vars: AIRFLOW_CTX_DAG_EMAIL='cdash-alerts@example.com' AIRFLOW_CTX_DAG_OWNER='crime-analytics' AIRFLOW_CTX_DAG_ID='crime_analytics_pipeline' AIRFLOW_CTX_TASK_ID='ingest_chicago_crime' AIRFLOW_CTX_EXECUTION_DATE='2026-05-26T19:50:14.211656+00:00' AIRFLOW_CTX_TRY_NUMBER='2' AIRFLOW_CTX_DAG_RUN_ID='manual__2026-05-26T19:50:14.211656+00:00'
[2026-05-27T01:55:03.792+0000] {ingest_chicago_crime.py:212} INFO - FULL LOAD mode: 2001-01-01 → 2026-05-27
[2026-05-27T01:55:05.539+0000] {ingest_chicago_crime.py:103} INFO - [2001-01-01] _SUCCESS marker exists, skipping.
[2026-05-27T01:55:05.849+0000] {ingest_chicago_crime.py:103} INFO - [2001-01-02] _SUCCESS marker exists, skipping.
[2026-05-27T01:55:06.771+0000] {ingest_chicago_crime.py:103} INFO - [2001-01-03] _SUCCESS marker exists, skipping.
[2026-05-27T01:55:07.050+0000] {ingest_chicago_crime.py:103} INFO - [2001-01-04] _SUCCESS marker exists, skipping.
[2026-05-27T01:55:08.246+0000] {ingest_chicago_crime.py:103} INFO - [2001-01-05] _SUCCESS marker exists, skipping.
[2026-05-27T01:55:08.523+0000] {ingest_chicago_crime.py:103} INFO - [2001-01-06] _SUCCESS marker exists, skipping.
[2026-05-27T01:55:08.798+0000] {ingest_chicago_crime.py:103} INFO - [2001-01-07] _SUCCESS marker exists, skipping.
[2026-05-27T01:55:09.167+0000] {ingest_chicago_crime.py:103} INFO - [2001-01-08] _SUCCESS marker exists, skipping.
[2026-05-27T01:55:09.720+0000] {ingest_chicago_crime.py:103} INFO - [2001-01-09] _SUCCESS marker exists, skipping.
[2026-05-27T01:55:10.366+0000] {ingest_chicago_crime.py:103} INFO - [2001-01-10] _SUCCESS marker exists, skipping.
[2026-05-27T01:55:10.828+0000] {ingest_chicago_crime.py:103} INFO - [2001-01-11] _SUCCESS marker exists, skipping.
[2026-05-27T01:55:11.104+0000] {ingest_chicago_crime.py:103} INFO - [2001-01-12] _SUCCESS marker exists, skipping.
[2026-05-27T01:55:11.379+0000] {ingest_chicago_crime.py:103} INFO - [2001-01-13] _SUCCESS marker exists, skipping.
[2026-05-27T01:55:11.656+0000] {ingest_chicago_crime.py:103} INFO - [2001-01-14] _SUCCESS marker exists, skipping.
[2026-05-27T01:55:12.116+0000] {ingest_chicago_crime.py:103} INFO - [2001-01-15] _SUCCESS marker exists, skipping.
[2026-05-27T01:55:12.393+0000] {ingest_chicago_crime.py:103} INFO - [2001-01-16] _SUCCESS marker exists, skipping.
[2026-05-27T01:55:13.315+0000] {ingest_chicago_crime.py:103} INFO - [2001-01-17] _SUCCESS marker exists, skipping.
[2026-05-27T01:55:13.591+0000] {ingest_chicago_crime.py:103} INFO - [2001-01-18] _SUCCESS marker exists, skipping.
[2026-05-27T01:55:13.868+0000] {ingest_chicago_crime.py:103} INFO - [2001-01-19] _SUCCESS marker exists, skipping.
[2026-05-27T01:55:14.420+0000] {ingest_chicago_crime.py:103} INFO - [2001-01-20] _SUCCESS marker exists, skipping.
[2026-05-27T01:55:14.697+0000] {ingest_chicago_crime.py:103} INFO - [2001-01-21] _SUCCESS marker exists, skipping.
[2026-05-27T01:55:14.996+0000] {ingest_chicago_crime.py:103} INFO - [2001-01-22] _SUCCESS marker exists, skipping.
[2026-05-27T01:55:15.620+0000] {ingest_chicago_crime.py:103} INFO - [2001-01-23] _SUCCESS marker exists, skipping.
[2026-05-27T01:55:16.172+0000] {ingest_chicago_crime.py:103} INFO - [2001-01-24] _SUCCESS marker exists, skipping.
[2026-05-27T01:55:16.816+0000] {ingest_chicago_crime.py:103} INFO - [2001-01-25] _SUCCESS marker exists, skipping.
[2026-05-27T01:55:17.369+0000] {ingest_chicago_crime.py:103} INFO - [2001-01-26] _SUCCESS marker exists, skipping.
[2026-05-27T01:55:18.014+0000] {ingest_chicago_crime.py:103} INFO - [2001-01-27] _SUCCESS marker exists, skipping.
[2026-05-27T01:55:18.291+0000] {ingest_chicago_crime.py:103} INFO - [2001-01-28] _SUCCESS marker exists, skipping.
[2026-05-27T01:55:18.568+0000] {ingest_chicago_crime.py:103} INFO - [2001-01-29] _SUCCESS marker exists, skipping.
[2026-05-27T01:55:18.854+0000] {ingest_chicago_crime.py:103} INFO - [2001-01-30] _SUCCESS marker exists, skipping.
[2026-05-27T01:55:19.145+0000] {ingest_chicago_crime.py:103} INFO - [2001-01-31] _SUCCESS marker exists, skipping.
[2026-05-27T01:55:19.435+0000] {ingest_chicago_crime.py:103} INFO - [2001-02-01] _SUCCESS marker exists, skipping.
[2026-05-27T01:55:19.724+0000] {ingest_chicago_crime.py:103} INFO - [2001-02-02] _SUCCESS marker exists, skipping.
